Iteration	Time	Timesteps	TimestepsThisBatch	fps	MeanReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Episodes
43	7.768361596266429	224597	5586	379.6133004972401	13.057134	73.28272	84.4722	-130.37476	620.6666666666666	372.8321040063178	1099
44	8.038201288382213	229950	5353	330.6340029586681	51.431072	39.02297	111.58508	-11.436432	764.7142857142857	370.4571362464467	1106
45	8.30841581026713	235277	5327	328.57228141473746	38.24816	17.460192	68.74969	11.698551	761.0	376.32470781797696	1113
46	8.569552528858186	240450	5173	330.16574701587376	62.49034	42.627937	105.3956	-19.532854	862.1666666666666	305.9686349212212	1119
47	8.85622828801473	245628	5178	301.04270926579926	45.503464	11.593391	62.324875	24.25861	863.0	304.1052449399714	1125
48	9.173042750358581	251622	5994	315.3316199760437	25.363264	40.584873	71.26735	-54.211227	999.0	0.0	1131
49	9.479334823290507	257616	5994	326.16365308984814	14.650826	56.04831	78.58267	-68.28007	999.0	0.0	1137
50	9.764326147238414	262803	5187	303.3489417881265	-33.99437	121.2325	71.001564	-277.95416	864.5	208.87935114159401	1143
51	10.08826893568039	268797	5994	308.39267182514527	52.676136	32.885403	90.10643	1.426506	999.0	0.0	1149
52	10.384640514850616	274791	5994	337.08212532197604	88.1663	26.332418	128.49399	54.84146	999.0	0.0	1155
53	10.621214588483175	280159	5368	378.18531127792755	40.385	131.61368	136.72696	-249.96378	894.6666666666666	233.29642565247804	1161
54	10.848871417840321	286153	5994	438.82978046447994	118.12683	19.291382	150.7204	98.57407	999.0	0.0	1167
55	11.036840120951334	291595	5442	482.5400810492378	77.18439	28.849695	126.55966	43.885334	680.25	411.5163271366034	1175
56	11.21868792772293	297244	5649	517.7547828997652	58.034924	70.28517	244.04065	-49.153347	353.0625	348.3016775637895	1191
57	11.375043102105458	302548	5304	565.4029134126869	14.760568	106.635925	154.27707	-225.99121	482.1818181818182	396.15672247272363	1202
58	11.533187301953634	308506	5958	627.9308257657938	61.19233	75.38194	234.36414	-45.924454	331.0	358.67952269400604	1220
59	11.692550547917683	313713	5207	544.5810433478687	68.81065	52.069313	164.8494	7.736786	400.53846153846155	399.1447810168859	1233
60	11.818927041689555	319001	5288	697.417073560487	45.97359	51.958176	177.47488	-9.174213	264.4	308.92011912466955	1253
61	12.023536503314972	324026	5025	409.3279181672677	32.716496	40.984756	162.84988	-21.277618	201.0	235.68385604449023	1278
62	12.152424458662669	329311	5285	683.4417915427762	65.64012	60.46706	179.91797	0.46970558	377.5	393.2813878128483	1292
63	12.274736261367797	334330	5019	683.9358968352648	40.95955	52.76874	179.49985	-6.868593	264.1578947368421	318.45899730418813	1311
64	12.36417811314265	339436	5106	951.5073006773855	22.298458	23.82707	104.233	-22.4544	159.5625	151.4195201872929	1343
65	12.483336710929871	344480	5044	705.5346428679455	45.643623	62.366684	196.3805	-12.172004	280.22222222222223	321.87049769115316	1361
66	12.589235015710194	349582	5102	803.0130809993168	17.43104	78.622955	206.53719	-136.52213	221.82608695652175	229.36427305544626	1384
67	12.71330984433492	355027	5445	731.4430954327918	39.62179	86.77516	227.76743	-55.07772	259.2857142857143	237.91798163735874	1405
68	12.843991974989573	360197	5170	659.3872883740396	16.115622	92.41504	227.09454	-74.60422	287.22222222222223	281.27597273764104	1423
69	12.954128603140513	365466	5269	797.3831357403759	-2.454373	84.133736	218.8851	-180.67427	263.45	250.33826615202076	1443
70	13.0704017162323	370496	5030	721.0395046007076	-20.475325	75.04808	188.45544	-116.478516	295.88235294117646	283.6775058682661	1460
71	13.200428533554078	375710	5214	668.35100046814	6.9963174	85.43344	232.36325	-72.26039	372.42857142857144	338.7569112179989	1474
72	13.364441180229187	381384	5674	576.5990298513954	42.343414	109.29975	233.00468	-114.19715	567.4	395.08510475592476	1484
73	13.555128137270609	386554	5170	451.8875605484022	100.80674	51.179485	160.18678	6.7967834	861.6666666666666	307.08666890997114	1490
74	13.730817766984304	392366	5812	551.3707062867692	66.94137	76.15877	172.33118	-54.701416	645.7777777777778	395.06702041208644	1499
75	13.92277141014735	397586	5220	453.2453980906168	56.77728	104.73928	160.28952	-161.3052	870.0	210.81982828946616	1505
76	14.148843443393707	403009	5423	399.80764469152626	81.82784	122.14296	169.44739	-188.15523	903.8333333333334	212.79913585872998	1511
77	14.427384730180105	408934	5925	354.5329542404172	103.36996	57.336422	181.66754	22.667942	987.5	25.71478174124758	1517
78	14.718046243985494	414928	5994	343.7045142738156	95.49529	27.032211	135.15378	65.56705	999.0	0.0	1523
79	15.0175958832105	420922	5994	333.5059565204518	112.15168	11.102073	127.33642	93.92787	999.0	0.0	1529
80	15.244662161668142	426270	5348	392.55287429505506	-34.265255	202.74028	108.64167	-420.6106	891.3333333333334	240.74998557747736	1535
81	16.04400533835093	432264	5994	124.97849869825177	75.40456	28.256916	131.04752	41.64933	999.0	0.0	1541
82	16.328659292062124	438258	5994	350.9600107033021	39.19634	91.14259	87.25184	-164.23737	999.0	0.0	1547
83	16.635137399037678	444252	5994	325.9671590591091	86.316505	45.644917	122.532135	-10.687618	999.0	0.0	1553
84	16.9111799120903	450246	5994	361.90733612454375	72.875946	36.621548	133.3526	25.755539	999.0	0.0	1559
85	17.166956961154938	456240	5994	390.58106230140834	128.899	25.342812	163.12238	101.923096	999.0	0.0	1565
86	17.410501329104104	462234	5994	410.19911996154997	129.23172	15.523097	149.45653	102.48808	999.0	0.0	1571
87	17.613805186748504	468228	5994	491.3948186763452	111.22022	55.781555	167.18292	5.86512	999.0	0.0	1577
88	17.85851510365804	474222	5994	408.24749049253995	121.4339	18.080788	155.03671	101.91519	999.0	0.0	1583
89	18.101414982477824	480130	5908	405.3898117015998	109.24822	31.90242	147.95222	53.8575	984.6666666666666	32.05030767749699	1589
90	18.343023188908894	485703	5573	384.44545645913377	122.13278	31.8846	186.65839	83.70497	928.8333333333334	156.89743642123523	1595
91	18.55598748922348	491697	5994	469.1026146300319	130.1399	23.634066	157.1009	98.18249	999.0	0.0	1601
92	18.824328283468883	497691	5994	372.2950790409592	84.23822	28.864794	131.52307	50.054787	999.0	0.0	1607
93	19.11007138888041	503685	5994	349.6206663069775	86.440025	30.206656	124.68239	40.601418	999.0	0.0	1613
94	19.41055371761322	509679	5994	332.471475957103	94.02023	8.501265	103.632614	76.67792	999.0	0.0	1619
95	19.69492216904958	515673	5994	351.3108116299783	68.764786	25.794725	108.144455	27.766277	999.0	0.0	1625
96	19.971531709035236	521550	5877	354.1159461613398	-27.543943	161.5554	103.92552	-381.9054	979.5	43.603325561245896	1631
97	20.23092269897461	527544	5994	385.14073677516257	15.058064	48.312664	66.135445	-62.58561	999.0	0.0	1637
98	20.458626194794974	533108	5564	407.2646139952175	-27.60241	67.40297	60.625908	-142.5617	927.3333333333334	109.1125820222194	1643
99	20.72092657883962	538757	5649	358.94688961984957	-17.011574	42.728146	32.203613	-82.2035	941.5	128.57390870623792	1649
100	20.96682939529419	544218	5461	370.14066360413494	-62.98306	80.45595	35.098286	-190.127	910.1666666666666	132.976710575783	1655
1	0.06389244000116984	5085	5085	1326.4470217215908	-152.2263	84.51768	34.287243	-375.50656	94.16666666666667	21.624531679792984	54
2	0.12807539701461793	10111	5026	1305.2466025036897	-145.32385	78.51514	-52.602306	-416.8258	102.57142857142857	22.321399999981715	103
3	0.19247064193089802	15161	5050	1307.1447649374854	-128.95705	68.10952	-8.757065	-422.52094	103.06122448979592	26.911349675513634	152
4	0.258269468943278	20207	5046	1278.256703349215	-136.45363	72.118195	-6.150963	-373.00656	109.69565217391305	25.950512741200143	198
5	0.3260010520617167	25251	5044	1241.2693466442156	-135.26996	77.65321	4.7802505	-429.17328	109.65217391304348	29.97841063114845	244
6	0.3932304938634237	30316	5065	1255.7518045689442	-123.3221	77.13261	-34.47323	-366.2218	103.36734693877551	20.162294449071563	293
7	0.4616686503092448	35383	5067	1234.058499580354	-131.86366	85.188126	6.8170166	-369.89124	110.15217391304348	22.97254258164312	339
