Iteration	Time	Timesteps	MeanReturn	BestMeanReturn	Episodes	Exploration
129000	10.702178462346394	129999	157.0518281089773	157.0518281089773	340	0.02
130000	10.764466436704	130999	157.88585880439325	157.88585880439325	345	0.02
131000	10.824407132466634	131999	158.67283753283638	158.67283753283638	348	0.02
132000	10.88466774225235	132999	157.67121111048883	158.67283753283638	353	0.02
133000	10.944832309087117	133999	156.9202794464975	158.67283753283638	359	0.02
134000	11.0259752591451	134999	148.8463208309355	158.67283753283638	361	0.02
135000	11.086613376935324	135999	144.01387345169417	158.67283753283638	368	0.02
136000	11.147173575560252	136999	137.51581097777608	158.67283753283638	373	0.02
137000	11.208842241764069	137999	145.1563435593076	158.67283753283638	377	0.02
138000	11.271983448664347	138999	150.47994415683547	158.67283753283638	381	0.02
139000	11.331132070223491	139999	147.70550726305015	158.67283753283638	387	0.02
140000	11.394706145922344	140999	148.23271389873523	158.67283753283638	389	0.02
141000	11.715091073513031	141999	154.0971087568105	158.67283753283638	393	0.02
142000	11.776270802815755	142999	150.17942373220802	158.67283753283638	398	0.02
143000	11.837983266512554	143999	151.01971962988802	158.67283753283638	404	0.02
144000	11.899231386184692	144999	149.6490160947341	158.67283753283638	409	0.02
145000	11.964177457491557	145999	150.08310613876284	158.67283753283638	413	0.02
146000	12.026414815584818	146999	148.96832782379965	158.67283753283638	418	0.02
147000	12.09437398513158	147999	146.28918484623526	158.67283753283638	420	0.02
148000	12.15419498682022	148999	146.49883415910824	158.67283753283638	424	0.02
149000	12.22585133711497	149999	143.19173724149195	158.67283753283638	426	0.02
150000	12.298156571388244	150999	141.95870878104898	158.67283753283638	430	0.02
151000	12.359220727284749	151999	130.80052757317114	158.67283753283638	435	0.02
152000	12.422046546141306	152999	133.661094815366	158.67283753283638	438	0.02
153000	12.48517690896988	153999	130.16751753223897	158.67283753283638	441	0.02
154000	12.549466212590536	154999	128.89752715580576	158.67283753283638	444	0.02
155000	12.615381729602813	155999	123.92803755549966	158.67283753283638	447	0.02
156000	12.684711237748465	156999	116.77022742017118	158.67283753283638	450	0.02
157000	12.747011542320251	157999	119.03654421094151	158.67283753283638	454	0.02
158000	12.80531481107076	158999	126.64550445055363	158.67283753283638	458	0.02
159000	12.865727678934734	159999	130.77458098135764	158.67283753283638	465	0.02
160000	12.92538280884425	160999	124.42664773701017	158.67283753283638	470	0.02
161000	13.054573619365692	161999	134.87325230327843	158.67283753283638	474	0.02
162000	13.113359256585438	162999	130.2862684383075	158.67283753283638	479	0.02
163000	13.173291480541229	163999	126.68540316283483	158.67283753283638	485	0.02
164000	13.237447293599446	164999	116.92445617252535	158.67283753283638	490	0.02
165000	13.29939189751943	165999	113.64352575852251	158.67283753283638	496	0.02
166000	13.363640475273133	166999	116.71891485796925	158.67283753283638	500	0.02
167000	13.425804229577382	167999	116.74750372478513	158.67283753283638	503	0.02
168000	13.491156395276388	168999	117.82466666206302	158.67283753283638	508	0.02
169000	13.548767284552257	169999	119.83471113568334	158.67283753283638	513	0.02
170000	13.608028960227966	170999	120.95639267634799	158.67283753283638	519	0.02
171000	13.668607890605927	171999	118.90662817703549	158.67283753283638	524	0.02
172000	13.732518513997396	172999	125.89422443301024	158.67283753283638	527	0.02
173000	13.801192724704743	173999	126.33798941552766	158.67283753283638	531	0.02
174000	13.860336526234944	174999	132.69298258608538	158.67283753283638	536	0.02
175000	13.922375853856405	175999	135.60762024972658	158.67283753283638	540	0.02
176000	13.982597641150157	176999	135.33491362561244	158.67283753283638	544	0.02
177000	14.045698845386505	177999	145.37380343136346	158.67283753283638	549	0.02
178000	14.110645194848379	178999	144.04847295338038	158.67283753283638	553	0.02
179000	14.175655766328175	179999	137.70731176977554	158.67283753283638	556	0.02
