Iteration	Time	Timesteps	TimestepsThisBatch	fps	MeanReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Episodes
38	2.005113597710927	191489	5056	1591.4592220863888	-103.18785	45.438267	-6.2106323	-239.65585	103.18367346938776	29.7195554869577	2264
39	2.0727278073628743	196552	5063	1248.1651367616098	-106.81831	76.17555	57.16813	-349.51758	126.575	142.3135424863003	2304
40	2.127446190516154	201635	5083	1548.444095304389	-103.9479	56.53821	-23.036297	-308.37698	105.89583333333333	32.85906748482407	2352
41	2.355964148044586	206677	5042	367.74280652268175	-109.051765	62.550556	39.990692	-314.22678	109.6086956521739	31.71097619661298	2398
42	2.4107292254765826	211801	5124	1559.6185423197094	-98.95567	57.15219	36.27205	-278.8756	113.86666666666666	29.080424878448923	2443
43	2.4660382668177285	216819	5018	1512.250097376122	-107.28602	58.165817	-32.281677	-273.42752	119.47619047619048	37.72913368134327	2485
44	2.521170699596405	221875	5056	1528.613790191309	-90.51268	48.71435	9.097786	-264.66537	112.35555555555555	28.84838185760978	2530
45	2.58019091685613	226992	5117	1445.142603158443	-116.80937	66.02829	-7.5733414	-291.77814	131.2051282051282	39.02213670711397	2569
46	2.637721574306488	232029	5037	1459.3827574942482	-99.51871	60.34829	-3.5563583	-317.9613	129.15384615384616	39.79726730828513	2608
47	2.6968865990638733	237199	5170	1456.5434732976175	-78.19961	47.7799	-0.45508957	-240.00674	120.23255813953489	38.43075150055984	2651
48	2.755979756514231	242225	5026	1417.7046400119868	-80.8102	65.9082	19.139648	-254.20023	135.83783783783784	45.66891042173919	2688
49	2.8158720691998798	247304	5079	1413.555914463387	-78.62331	60.11331	-6.7863007	-379.04352	133.6578947368421	47.23083087392759	2726
50	2.8775604486465456	252324	5020	1356.4158637361434	-109.96144	73.65486	-13.979904	-321.93552	161.93548387096774	58.169349807471065	2757
51	2.9652539491653442	257360	5036	957.1991655775971	-89.23274	82.74667	30.672157	-282.49487	228.9090909090909	179.46255853897597	2779
52	3.0359076778093974	262381	5021	1184.5161555658074	-111.21237	101.07231	5.8719335	-345.50162	200.84	99.28934686057714	2804
53	3.1387478431065876	267928	5547	899.0149311692907	-76.18413	88.45551	62.434937	-357.15598	291.94736842105266	210.06376818385672	2823
54	3.211748119195302	272999	5071	1157.8641886668395	-79.40983	99.08251	33.916836	-410.25305	181.10714285714286	100.06402924617613	2851
55	3.2769362489382425	278102	5103	1304.8177325450608	-72.49544	65.880516	22.250961	-228.98965	175.9655172413793	53.51408629163926	2880
56	3.3583975593249003	283145	5043	1031.836131434611	-65.29505	69.79727	41.218414	-252.39732	210.125	173.3330879405314	2904
57	3.4232729117075604	288253	5108	1312.398957921955	-39.252766	51.646225	46.201553	-222.4249	164.7741935483871	60.47484663860289	2935
58	3.487062076727549	293318	5065	1323.5130338699576	-37.0216	42.58204	26.497452	-197.59583	168.83333333333334	60.96615636746523	2965
