Iteration	Time	Timesteps	MeanReturn	BestMeanReturn	Episodes	Exploration
82000	4.213569521903992	82999	-200.0	-200.0	414	0.02
83000	4.265316009521484	83999	-200.0	-200.0	419	0.02
84000	4.317116423447927	84999	-200.0	-200.0	424	0.02
85000	4.36837317943573	85999	-200.0	-200.0	429	0.02
86000	4.420175063610077	86999	-200.0	-200.0	434	0.02
87000	4.472783752282461	87999	-200.0	-200.0	439	0.02
88000	4.522610302766164	88999	-200.0	-200.0	444	0.02
89000	4.5829800248146055	89999	-200.0	-200.0	449	0.02
90000	4.6568220098813375	90999	-200.0	-200.0	454	0.02
91000	4.711516666412353	91999	-200.0	-200.0	459	0.02
92000	4.762733153502146	92999	-200.0	-200.0	464	0.02
93000	4.815434809525808	93999	-200.0	-200.0	469	0.02
94000	4.866970225175222	94999	-200.0	-200.0	474	0.02
95000	4.918017943700154	95999	-200.0	-200.0	479	0.02
96000	4.970522844791413	96999	-200.0	-200.0	484	0.02
97000	5.020481558640798	97999	-200.0	-200.0	489	0.02
98000	5.069264479478201	98999	-200.0	-200.0	494	0.02
99000	5.1183280428250635	99999	-200.0	-200.0	499	0.02
100000	5.167830216884613	100999	-200.0	-200.0	504	0.02
101000	5.337102615833283	101999	-200.0	-200.0	509	0.02
102000	5.387814668814341	102999	-200.0	-200.0	514	0.02
103000	5.437942397594452	103999	-200.0	-200.0	519	0.02
104000	5.4899593989054365	104999	-200.0	-200.0	524	0.02
105000	5.540701508522034	105999	-200.0	-200.0	529	0.02
106000	5.593394188086192	106999	-200.0	-200.0	534	0.02
107000	5.64422048330307	107999	-199.58	-199.58	540	0.02
108000	5.696476904551188	108999	-199.58	-199.58	545	0.02
109000	5.747262612978617	109999	-199.58	-199.58	550	0.02
110000	5.796949442227682	110999	-199.58	-199.58	555	0.02
111000	5.848618054389954	111999	-199.58	-199.58	560	0.02
112000	5.8999556541442875	112999	-199.58	-199.58	565	0.02
113000	5.950869492689768	113999	-199.58	-199.58	570	0.02
114000	6.002900548775991	114999	-199.58	-199.58	575	0.02
115000	6.054066010316213	115999	-199.58	-199.58	580	0.02
116000	6.104658790429434	116999	-199.58	-199.58	585	0.02
117000	6.155709060033162	117999	-199.58	-199.58	590	0.02
118000	6.205999489625295	118999	-199.58	-199.58	595	0.02
119000	6.257865647474925	119999	-199.26	-199.26	600	0.02
120000	6.310364345709483	120999	-199.26	-199.26	605	0.02
121000	6.483881811300914	121999	-199.26	-199.26	610	0.02
122000	6.534248002370199	122999	-199.26	-199.26	615	0.02
123000	6.585469869772593	123999	-199.26	-199.26	620	0.02
124000	6.635038956006368	124999	-199.26	-199.26	625	0.02
125000	6.686369240283966	125999	-199.26	-199.26	630	0.02
126000	6.735374422868093	126999	-199.26	-199.26	635	0.02
127000	6.785917774836222	127999	-199.68	-199.26	640	0.02
128000	6.83631649017334	128999	-199.68	-199.26	645	0.02
129000	6.886799764633179	129999	-199.68	-199.26	650	0.02
130000	6.936109642187755	130999	-199.68	-199.26	655	0.02
131000	6.986310358842214	131999	-199.68	-199.26	660	0.02
132000	7.035478754838308	132999	-199.68	-199.26	665	0.02
133000	7.084970486164093	133999	-199.68	-199.26	670	0.02
134000	7.13424813747406	134999	-199.68	-199.26	675	0.02
135000	7.183265471458435	135999	-199.68	-199.26	680	0.02
136000	7.232891845703125	136999	-199.68	-199.26	685	0.02
137000	7.285294465223948	137999	-199.68	-199.26	690	0.02
138000	7.335126602649689	138999	-199.68	-199.26	695	0.02
139000	7.385576117038727	139999	-200.0	-199.26	700	0.02
140000	7.434200517336527	140999	-200.0	-199.26	705	0.02
141000	7.634609174728394	141999	-200.0	-199.26	710	0.02
142000	7.7185972929000854	142999	-200.0	-199.26	715	0.02
143000	7.777381261189778	143999	-200.0	-199.26	720	0.02
144000	7.828761863708496	144999	-200.0	-199.26	725	0.02
145000	7.883914097150167	145999	-200.0	-199.26	730	0.02
146000	7.938789097468058	146999	-200.0	-199.26	735	0.02
147000	7.995864399274191	147999	-200.0	-199.26	740	0.02
148000	8.051160192489624	148999	-200.0	-199.26	745	0.02
149000	8.101740686098735	149999	-200.0	-199.26	750	0.02
1000	0.027314130465189615	1999	-200.0	-inf	9	0.9564662222222222
2000	0.053942751884460446	2999	-200.0	-inf	14	0.9346884444444444
3000	0.08266354004542033	3999	-200.0	-inf	19	0.9129106666666666
4000	0.11158347924550374	4999	-200.0	-inf	24	0.8911328888888889
5000	0.1408472776412964	5999	-200.0	-inf	29	0.8693551111111111
6000	0.17027697165807087	6999	-200.0	-inf	34	0.8475773333333334
7000	0.19941404263178508	7999	-200.0	-inf	39	0.8257995555555555
8000	0.22985752820968627	8999	-200.0	-inf	44	0.8040217777777778
9000	0.2597777803738912	9999	-200.0	-inf	49	0.7822439999999999
10000	0.2928447047869364	10999	-200.0	-inf	54	0.7604662222222223
11000	0.32617650826772054	11999	-200.0	-inf	59	0.7386884444444444
12000	0.36027835607528685	12999	-200.0	-inf	64	0.7169106666666667
13000	0.39563016096750897	13999	-200.0	-inf	69	0.6951328888888888
14000	0.4303677320480347	14999	-200.0	-inf	74	0.6733551111111111
15000	0.46527737379074097	15999	-200.0	-inf	79	0.6515773333333333
16000	0.5010070204734802	16999	-200.0	-inf	84	0.6297995555555556
17000	0.5357280095418294	17999	-200.0	-inf	89	0.6080217777777778
18000	0.5706948677698771	18999	-200.0	-inf	94	0.586244
19000	0.6060914476712544	19999	-200.0	-inf	99	0.5644662222222223
20000	0.6438020507494608	20999	-200.0	-200.0	104	0.5426884444444444
21000	0.8047121644020081	21999	-200.0	-200.0	109	0.5209106666666667
22000	0.8431472063064576	22999	-200.0	-200.0	114	0.49913288888888885
23000	0.882404621442159	23999	-200.0	-200.0	119	0.4773551111111112
24000	0.9208158373832702	24999	-200.0	-200.0	124	0.4555773333333334
25000	0.9608822822570801	25999	-200.0	-200.0	129	0.4337995555555555
26000	0.9991404255231221	26999	-200.0	-200.0	134	0.4120217777777777
27000	1.0380393584569296	27999	-200.0	-200.0	139	0.39024400000000004
28000	1.0760693073272705	28999	-200.0	-200.0	144	0.36846622222222225
29000	1.1154080112775167	29999	-200.0	-200.0	149	0.34668844444444447
30000	1.1576137820879617	30999	-200.0	-200.0	154	0.3249106666666667
31000	1.1988182981808981	31999	-200.0	-200.0	159	0.3031328888888889
32000	1.2400708357493082	32999	-200.0	-200.0	164	0.2813551111111111
33000	1.2829321344693503	33999	-200.0	-200.0	169	0.25957733333333344
34000	1.327312441666921	34999	-200.0	-200.0	174	0.23779955555555554
35000	1.3727454980214437	35999	-200.0	-200.0	179	0.21602177777777776
36000	1.4197598059972127	36999	-200.0	-200.0	184	0.19424399999999997
37000	1.4669046958287557	37999	-200.0	-200.0	189	0.1724662222222223
38000	1.5121313055356345	38999	-200.0	-200.0	194	0.1506884444444445
39000	1.5582572182019552	39999	-200.0	-200.0	199	0.12891066666666662
40000	1.60592170159022	40999	-200.0	-200.0	204	0.10713288888888894
41000	1.780184547106425	41999	-200.0	-200.0	209	0.08535511111111116
42000	1.8268275221188863	42999	-200.0	-200.0	214	0.06357733333333337
43000	1.874952785174052	43999	-200.0	-200.0	219	0.04179955555555548
44000	1.9243040998776755	44999	-200.0	-200.0	224	0.020021777777777805
45000	1.9730663299560547	45999	-200.0	-200.0	229	0.02
46000	2.021215585867564	46999	-200.0	-200.0	234	0.02
47000	2.0704496622085573	47999	-200.0	-200.0	239	0.02
48000	2.1188450614611307	48999	-200.0	-200.0	244	0.02
49000	2.171117917696635	49999	-200.0	-200.0	249	0.02
50000	2.222976016998291	50999	-200.0	-200.0	254	0.02
51000	2.274496606985728	51999	-200.0	-200.0	259	0.02
52000	2.325297395388285	52999	-200.0	-200.0	264	0.02
53000	2.3771305322647094	53999	-200.0	-200.0	269	0.02
54000	2.4284047842025758	54999	-200.0	-200.0	274	0.02
55000	2.4810833891232806	55999	-200.0	-200.0	279	0.02
56000	2.5333187023798627	56999	-200.0	-200.0	284	0.02
57000	2.5871787468592324	57999	-200.0	-200.0	289	0.02
58000	2.6402119199434915	58999	-200.0	-200.0	294	0.02
59000	2.6956791718800863	59999	-200.0	-200.0	299	0.02
60000	2.747975293795268	60999	-200.0	-200.0	304	0.02
61000	2.921764584382375	61999	-200.0	-200.0	309	0.02
62000	2.9736987113952638	62999	-200.0	-200.0	314	0.02
63000	3.0256197651227317	63999	-200.0	-200.0	319	0.02
64000	3.0755332748095197	64999	-200.0	-200.0	324	0.02
65000	3.1254344741503397	65999	-200.0	-200.0	329	0.02
66000	3.176156767209371	66999	-200.0	-200.0	334	0.02
67000	3.2283642570177715	67999	-200.0	-200.0	339	0.02
68000	3.2800546924273175	68999	-200.0	-200.0	344	0.02
69000	3.3319893876711526	69999	-200.0	-200.0	349	0.02
70000	3.384283510843913	70999	-200.0	-200.0	354	0.02
71000	3.4362562259038287	71999	-200.0	-200.0	359	0.02
72000	3.487060308456421	72999	-200.0	-200.0	364	0.02
73000	3.537294856707255	73999	-199.78	-199.78	370	0.02
74000	3.5893976291020713	74999	-199.78	-199.78	375	0.02
75000	3.642334564526876	75999	-199.78	-199.78	380	0.02
